id;spending_limit;current_spending;name;month_of_date;budget_year
1;81565;28089;Concrete Accountability violet;DECEMBER;78436
2;73614;48070;Personal Ramp;JUNE;75660
3;32699;50689;neural Intelligent;JUNE;31769
4;1281;68273;architectures copying Industrial;AUGUST;66579
5;21557;77346;Central;AUGUST;91784
6;12904;3967;support Marketing Buckinghamshire;AUGUST;29969
7;11940;73197;customer cyan;MARCH;42544
8;21879;73884;Fantastic;APRIL;73509
9;64230;60171;generate Coordinator Ville;NOVEMBER;50292
10;82185;10690;Oval methodologies Polynesia;MARCH;37811
